disasterno,Country,Location,Disaster type,Date,Year,Total deaths,Latitude,Longitude
1999-9388,Somalia, Hiraan provinces,Drought,2000-01-01,2000,21.0,4.210158701,45.47562752
1999-9388,Somalia, Bay,Drought,2000-01-01,2000,21.0,2.653014199,43.56644195
1999-9388,Somalia, Xudur districts ,Drought,2000-01-01,2000,21.0,4.185638255,43.89901433
1999-9388,Somalia, Garbahaarey,Drought,2000-01-01,2000,21.0,3.189444323,42.35918281
1999-9388,Somalia,Ceel Barde,Drought,2000-01-01,2000,21.0,4.663143716,43.99143085
1999-9388,Somalia, Rab Dhuure,Drought,2000-01-01,2000,21.0,4.233073115,43.20545925
1999-9388,Somalia, Baardheere districts ,Drought,2000-01-01,2000,21.0,2.084872858,41.70175634
1999-9388,Somalia, Tayeeglow,Drought,2000-01-01,2000,21.0,3.834896804,44.52430191
1999-9388,Somalia, Hiraan provinces,Drought,2000-01-01,2000,21.0,4.210158701,45.47562752
1999-9388,Somalia, Bay,Drought,2000-01-01,2000,21.0,2.653014199,43.56644195
1999-9388,Somalia, Xudur districts ,Drought,2000-01-01,2000,21.0,4.185638255,43.89901433
1999-9388,Somalia, Garbahaarey,Drought,2000-01-01,2000,21.0,3.189444323,42.35918281
1999-9388,Somalia,Ceel Barde,Drought,2000-01-01,2000,21.0,4.663143716,43.99143085
1999-9388,Somalia, Rab Dhuure,Drought,2000-01-01,2000,21.0,4.233073115,43.20545925
1999-9388,Somalia, Baardheere districts ,Drought,2000-01-01,2000,21.0,2.084872858,41.70175634
1999-9388,Somalia, Tayeeglow,Drought,2000-01-01,2000,21.0,3.834896804,44.52430191
1999-9388,Somalia, Hiraan provinces,Drought,2000-01-01,2000,21.0,4.210158701,45.47562752
1999-9388,Somalia, Bay,Drought,2000-01-01,2000,21.0,2.653014199,43.56644195
1999-9388,Somalia, Xudur districts ,Drought,2000-01-01,2000,21.0,4.185638255,43.89901433
1999-9388,Somalia, Garbahaarey,Drought,2000-01-01,2000,21.0,3.189444323,42.35918281
1999-9388,Somalia,Ceel Barde,Drought,2000-01-01,2000,21.0,4.663143716,43.99143085
1999-9388,Somalia, Rab Dhuure,Drought,2000-01-01,2000,21.0,4.233073115,43.20545925
1999-9388,Somalia, Baardheere districts ,Drought,2000-01-01,2000,21.0,2.084872858,41.70175634
1999-9388,Somalia, Tayeeglow,Drought,2000-01-01,2000,21.0,3.834896804,44.52430191
1999-9388,Somalia, Hiraan provinces,Drought,2000-01-01,2000,21.0,4.210158701,45.47562752
1999-9388,Somalia, Bay,Drought,2000-01-01,2000,21.0,2.653014199,43.56644195
1999-9388,Somalia, Xudur districts ,Drought,2000-01-01,2000,21.0,4.185638255,43.89901433
1999-9388,Somalia, Garbahaarey,Drought,2000-01-01,2000,21.0,3.189444323,42.35918281
1999-9388,Somalia,Ceel Barde,Drought,2000-01-01,2000,21.0,4.663143716,43.99143085
1999-9388,Somalia, Rab Dhuure,Drought,2000-01-01,2000,21.0,4.233073115,43.20545925
1999-9388,Somalia, Baardheere districts ,Drought,2000-01-01,2000,21.0,2.084872858,41.70175634
1999-9388,Somalia, Tayeeglow,Drought,2000-01-01,2000,21.0,3.834896804,44.52430191
1999-9388,Somalia, Hiraan provinces,Drought,2000-01-01,2000,21.0,4.210158701,45.47562752
1999-9388,Somalia, Bay,Drought,2000-01-01,2000,21.0,2.653014199,43.56644195
2000-0002,Angola,Cambambe-Kwanza Norte,Flood,2000-08-01,2000,31.0,-9.534028984,14.59078752
2000-0002,Angola,Baia Farta-Benguela,Flood,2000-08-01,2000,31.0,-13.1693539,13.11089543
2000-0002,Angola,Cambambe-Kwanza Norte,Flood,2000-08-01,2000,31.0,-9.534028984,14.59078752
2000-0002,Angola,Baia Farta-Benguela,Flood,2000-08-01,2000,31.0,-13.1693539,13.11089543
2000-0002,Angola,Cambambe-Kwanza Norte,Flood,2000-08-01,2000,31.0,-9.534028984,14.59078752
2000-0002,Angola,Baia Farta-Benguela,Flood,2000-08-01,2000,31.0,-13.1693539,13.11089543
2000-0002,Angola,Cambambe-Kwanza Norte,Flood,2000-08-01,2000,31.0,-9.534028984,14.59078752
2000-0002,Angola,Baia Farta-Benguela,Flood,2000-08-01,2000,31.0,-13.1693539,13.11089543
2000-0012,Mozambique,Chibuto,Flood,,2000,800.0,-24.30044317,33.61295063
2000-0012,Mozambique,Mabalane,Flood,,2000,800.0,-23.4779122,32.73720416
2000-0012,Mozambique,Magude,Flood,,2000,800.0,-24.70185045,32.43940654
2000-0012,Mozambique,Marracune,Flood,,2000,800.0,-25.6522687,32.71464738
2000-0012,Mozambique,Matutuine,Flood,,2000,800.0,-26.52435974,32.56154951
2000-0012,Mozambique,Chokwe,Flood,,2000,800.0,-24.56177412,32.95529265
2000-0012,Mozambique,Manhica,Flood,,2000,800.0,-25.30894953,32.82550277
2000-0012,Mozambique,Manica,Flood,,2000,800.0,-19.02183442,33.42940088
2000-0012,Mozambique,Tete,Flood,,2000,800.0,-15.5180484,32.76875953
2000-0012,Mozambique,Inhambane,Flood,,2000,800.0,-22.80887901,34.51464613
2000-0012,Mozambique,Sofala,Flood,,2000,800.0,-19.06197641,34.67534108
2000-0012,Mozambique,Chibuto,Flood,,2000,800.0,-24.30044317,33.61295063
2000-0012,Mozambique,Mabalane,Flood,,2000,800.0,-23.4779122,32.73720416
2000-0012,Mozambique,Magude,Flood,,2000,800.0,-24.70185045,32.43940654
2000-0012,Mozambique,Marracune,Flood,,2000,800.0,-25.6522687,32.71464738
2000-0012,Mozambique,Matutuine,Flood,,2000,800.0,-26.52435974,32.56154951
2000-0012,Mozambique,Chokwe,Flood,,2000,800.0,-24.56177412,32.95529265
2000-0012,Mozambique,Manhica,Flood,,2000,800.0,-25.30894953,32.82550277
2000-0012,Mozambique,Manica,Flood,,2000,800.0,-19.02183442,33.42940088
2000-0012,Mozambique,Tete,Flood,,2000,800.0,-15.5180484,32.76875953
2000-0012,Mozambique,Inhambane,Flood,,2000,800.0,-22.80887901,34.51464613
2000-0012,Mozambique,Sofala,Flood,,2000,800.0,-19.06197641,34.67534108
2000-0012,Mozambique,Chibuto,Flood,,2000,800.0,-24.30044317,33.61295063
2000-0012,Mozambique,Mabalane,Flood,,2000,800.0,-23.4779122,32.73720416
2000-0012,Mozambique,Magude,Flood,,2000,800.0,-24.70185045,32.43940654
2000-0012,Mozambique,Marracune,Flood,,2000,800.0,-25.6522687,32.71464738
2000-0012,Mozambique,Matutuine,Flood,,2000,800.0,-26.52435974,32.56154951
2000-0012,Mozambique,Chokwe,Flood,,2000,800.0,-24.56177412,32.95529265
2000-0012,Mozambique,Manhica,Flood,,2000,800.0,-25.30894953,32.82550277
2000-0012,Mozambique,Manica,Flood,,2000,800.0,-19.02183442,33.42940088
2000-0012,Mozambique,Tete,Flood,,2000,800.0,-15.5180484,32.76875953
2000-0012,Mozambique,Inhambane,Flood,,2000,800.0,-22.80887901,34.51464613
2000-0012,Mozambique,Sofala,Flood,,2000,800.0,-19.06197641,34.67534108
2000-0012,Mozambique,Chibuto,Flood,,2000,800.0,-24.30044317,33.61295063
2000-0012,Mozambique,Mabalane,Flood,,2000,800.0,-23.4779122,32.73720416
2000-0012,Mozambique,Magude,Flood,,2000,800.0,-24.70185045,32.43940654
2000-0012,Mozambique,Marracune,Flood,,2000,800.0,-25.6522687,32.71464738
2000-0012,Mozambique,Matutuine,Flood,,2000,800.0,-26.52435974,32.56154951
2000-0012,Mozambique,Chokwe,Flood,,2000,800.0,-24.56177412,32.95529265
2000-0012,Mozambique,Manhica,Flood,,2000,800.0,-25.30894953,32.82550277
2000-0012,Mozambique,Manica,Flood,,2000,800.0,-19.02183442,33.42940088
2000-0012,Mozambique,Tete,Flood,,2000,800.0,-15.5180484,32.76875953
2000-0012,Mozambique,Inhambane,Flood,,2000,800.0,-22.80887901,34.51464613
2000-0012,Mozambique,Sofala,Flood,,2000,800.0,-19.06197641,34.67534108
